,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
152,2016-06-01,2016,6,1,‡,22.1,,4.3,,13.2,,4.8,,0.0,,,M,,M,0.0,,,,30.0,,50,
153,2016-06-02,2016,6,2,‡,19.0,,9.6,,14.3,,3.7,,0.0,,,M,,M,2.3,,,,30.0,,70,
154,2016-06-03,2016,6,3,‡,21.6,,10.7,,16.2,,1.8,,0.0,,,M,,M,0.0,,,,25.0,,52,
155,2016-06-04,2016,6,4,‡,26.3,,8.6,,17.5,,0.5,,0.0,,,M,,M,0.0,,,,25.0,,41,
156,2016-06-05,2016,6,5,‡,23.2,,8.0,,15.6,,2.4,,0.0,,,M,,M,0.0,,,,33.0,,37,
157,2016-06-06,2016,6,6,‡,29.2,,8.0,,18.6,,0.0,,0.6,,,M,,M,0.0,,,,19.0,,44,
158,2016-06-07,2016,6,7,‡,30.1,,11.5,,20.8,,0.0,,2.8,,,M,,M,0.0,,,,27.0,,46,
159,2016-06-08,2016,6,8,‡,27.2,,12.4,,19.8,,0.0,,1.8,,,M,,M,2.8,,,,26.0,,74,
160,2016-06-09,2016,6,9,‡,20.0,,9.4,,14.7,,3.3,,0.0,,,M,,M,0.0,,,,29.0,,67,
161,2016-06-10,2016,6,10,‡,14.3,,4.8,,9.6,,8.4,,0.0,,,M,,M,9.3,,,,27.0,,35,
162,2016-06-11,2016,6,11,‡,15.5,,4.2,,9.9,,8.1,,0.0,,,M,,M,0.0,,,,26.0,,65,
163,2016-06-12,2016,6,12,‡,16.9,,6.5,,11.7,,6.3,,0.0,,,M,,M,0.0,,,,27.0,,82,
164,2016-06-13,2016,6,13,‡,20.8,,9.0,,14.9,,3.1,,0.0,,,M,,M,0.0,,,,24.0,,56,
165,2016-06-14,2016,6,14,‡,13.3,,4.5,,8.9,,9.1,,0.0,,,M,,M,0.0,,,,25.0,,76,
166,2016-06-15,2016,6,15,‡,15.8,,3.2,,9.5,,8.5,,0.0,,,M,,M,0.0,,,,24.0,,83,
167,2016-06-16,2016,6,16,‡,15.5,,5.2,,10.4,,7.6,,0.0,,,M,,M,0.0,,,,25.0,,78,
168,2016-06-17,2016,6,17,‡,17.5,,5.6,,11.6,,6.4,,0.0,,,M,,M,0.0,,,,25.0,,70,
169,2016-06-18,2016,6,18,‡,17.7,,2.4,,10.1,,7.9,,0.0,,,M,,M,2.5,,,,23.0,,57,
170,2016-06-19,2016,6,19,‡,16.8,,6.5,,11.7,,6.3,,0.0,,,M,,M,0.0,,,,26.0,,82,
171,2016-06-20,2016,6,20,‡,24.3,,7.1,,15.7,,2.3,,0.0,,,M,,M,0.0,,,,10.0,,35,
172,2016-06-21,2016,6,21,‡,20.6,,4.7,,12.7,,5.3,,0.0,,,M,,M,0.0,,,,26.0,,74,
173,2016-06-22,2016,6,22,‡,23.5,,7.7,,15.6,,2.4,,0.0,,,M,,M,0.0,,,,27.0,,46,
174,2016-06-23,2016,6,23,‡,24.6,,6.1,,15.4,,2.6,,0.0,,,M,,M,0.0,,,,25.0,,59,
175,2016-06-24,2016,6,24,‡,17.2,,7.0,,12.1,,5.9,,0.0,,,M,,M,1.5,,,,26.0,,74,
176,2016-06-25,2016,6,25,‡,19.2,,6.3,,12.8,,5.2,,0.0,,,M,,M,5.5,,,,24.0,,70,
177,2016-06-26,2016,6,26,‡,20.2,,8.4,,14.3,,3.7,,0.0,,,M,,M,0.0,,,,13.0,,33,
178,2016-06-27,2016,6,27,‡,25.4,,6.1,,15.8,,2.2,,0.0,,,M,,M,0.0,,,,9.0,,35,
179,2016-06-28,2016,6,28,‡,26.6,,7.7,,17.2,,0.8,,0.0,,,M,,M,0.0,,,,4.0,,44,
180,2016-06-29,2016,6,29,‡,25.4,,8.3,,16.9,,1.1,,0.0,,,M,,M,0.0,,,,11.0,,39,
181,2016-06-30,2016,6,30,‡,28.4,,10.1,,19.3,,0.0,,1.3,,,M,,M,0.0,,,,5.0,,57,
